site_name,site_id,ccamlr region,longitude_EPSG4326,latitude_EPSG4326,common_name,day,month,year,season_starting,count,accuracy,count_type,vantage,reference,notes
Gould,GOUL,48.5,-47.68,-77.71,emperor penguin,14,10,2009,2009,8242,2,adults,vhr,"<strong>Fretwell, P. T., M. A. LaRue, P. Morin, G. L. Kooyman, B. Wienecke, N. Ratcliffe, A. J. Fox, A. H. Fleming, C. Porter, and P. N. Trathan, </strong><i> 2012</i>. An emperor penguin population estimate: The first global, synoptic survey of a species from space. PLoS ONE 7:e33751.",See original source for more details on methodology and survey precision.
Gunnerus,GUNN,58.4.2,34.38,-68.75,emperor penguin,Unknown,Unknown,1975,1975,5750,None,None,None,"<strong>Wilson, G., </strong><i> 1983</i>. Distribution and abundance of Antarctic and sub- Antarctic penguins: A synthesis of current knowledge, volume 4 of BIOMASS Scientific Series. Scientific Committee on Antarctic Research (SCAR), Cambridge, United Kingdom.","Originally called 'Riiser-Larsen Peninsula' but name changed to Gunnerus by Fretwell et al. to avoid confusion with the ""Riiser"" colony."
Gunnerus,GUNN,58.4.2,34.38,-68.75,emperor penguin,Unknown,Unknown,1990,1990,7000,None,chicks,None,"<strong>Woehler, E. J., </strong><i> 1993</i>. The distribution and abundance of Antarctic and Subantarctic penguins. Scientific Committee on Antarctic Research (SCAR), Cambridge, United Kingdom.","Originally called 'Riiser-Larsen Peninsula' but name changed to Gunnerus by Fretwell et al. to avoid confusion with the ""Riiser"" colony."
Gunnerus,GUNN,58.4.2,34.38,-68.75,emperor penguin,31,10,2009,2009,4652,2,adults,vhr,"<strong>Fretwell, P. T., M. A. LaRue, P. Morin, G. L. Kooyman, B. Wienecke, N. Ratcliffe, A. J. Fox, A. H. Fleming, C. Porter, and P. N. Trathan, </strong><i> 2012</i>. An emperor penguin population estimate: The first global, synoptic survey of a species from space. PLoS ONE 7:e33751.",See original source for more details on methodology and survey precision.
Halley,HALY,48.5,-27.43,-75.54,emperor penguin,Unknown,Unknown,1977,1977,14700,1,chicks,None,"<strong>Wilson, G., </strong><i> 1983</i>. Distribution and abundance of Antarctic and sub- Antarctic penguins: A synthesis of current knowledge, volume 4 of BIOMASS Scientific Series. Scientific Committee on Antarctic Research (SCAR), Cambridge, United Kingdom.",None
Halley,HALY,48.5,-27.43,-75.54,emperor penguin,Unknown,Unknown,1986,1986,15700,1,chicks,None,"<strong>Woehler, E. J., </strong><i> 1993</i>. The distribution and abundance of Antarctic and Subantarctic penguins. Scientific Committee on Antarctic Research (SCAR), Cambridge, United Kingdom.",None
Halley,HALY,48.5,-27.43,-75.54,emperor penguin,Unknown,Unknown,1987,1987,14300,1,chicks,None,"<strong>Woehler, E. J., </strong><i> 1993</i>. The distribution and abundance of Antarctic and Subantarctic penguins. Scientific Committee on Antarctic Research (SCAR), Cambridge, United Kingdom.",None
Halley,HALY,48.5,-27.43,-75.54,emperor penguin,27,10,2009,2009,22510,2,adults,vhr,"<strong>Fretwell, P. T., M. A. LaRue, P. Morin, G. L. Kooyman, B. Wienecke, N. Ratcliffe, A. J. Fox, A. H. Fleming, C. Porter, and P. N. Trathan, </strong><i> 2012</i>. An emperor penguin population estimate: The first global, synoptic survey of a species from space. PLoS ONE 7:e33751.",See original source for more details on methodology and survey precision.
Haswell Island,HASW,58.4.1,93.01,-66.52,emperor penguin,Unknown,Unknown,1962,1962,9000,4,adults,None,"<strong>Wilson, G., </strong><i> 1983</i>. Distribution and abundance of Antarctic and sub- Antarctic penguins: A synthesis of current knowledge, volume 4 of BIOMASS Scientific Series. Scientific Committee on Antarctic Research (SCAR), Cambridge, United Kingdom.",None
Haswell Island,HASW,58.4.1,93.01,-66.52,emperor penguin,Unknown,Unknown,1970,1970,17000,4,adults,None,"<strong>Woehler, E. J., </strong><i> 1993</i>. The distribution and abundance of Antarctic and Subantarctic penguins. Scientific Committee on Antarctic Research (SCAR), Cambridge, United Kingdom.",None
